55 	Avg Reward:  0.1663818359375 	 Loss:  0.26065921783447266 	 Wins:  0.0 	 Epsilon:  0.01
56 	Avg Reward:  0.160888671875 	 Loss:  0.25902268290519714 	 Wins:  0.0 	 Epsilon:  0.01
57 	Avg Reward:  0.169677734375 	 Loss:  0.25732821226119995 	 Wins:  0.0 	 Epsilon:  0.01
58 	Avg Reward:  0.16015625 	 Loss:  0.2442527860403061 	 Wins:  0.0 	 Epsilon:  0.01
59 	Avg Reward:  0.1810302734375 	 Loss:  0.2668299078941345 	 Wins:  0.0 	 Epsilon:  0.01
60 	Avg Reward:  0.162353515625 	 Loss:  0.2557375729084015 	 Wins:  0.0 	 Epsilon:  0.01
61 	Avg Reward:  0.1575927734375 	 Loss:  0.24323228001594543 	 Wins:  0.0 	 Epsilon:  0.01
62 	Avg Reward:  0.172607421875 	 Loss:  0.23723967373371124 	 Wins:  0.0 	 Epsilon:  0.01
63 	Avg Reward:  0.1817626953125 	 Loss:  0.23984397947788239 	 Wins:  0.0 	 Epsilon:  0.01
64 	Avg Reward:  0.165283203125 	 Loss:  0.24668104946613312 	 Wins:  0.0 	 Epsilon:  0.01
65 	Avg Reward:  0.1781005859375 	 Loss:  0.243035227060318 	 Wins:  0.0 	 Epsilon:  0.01
66 	Avg Reward:  0.1719970703125 	 Loss:  0.2496984601020813 	 Wins:  0.11148272017837235 	 Epsilon:  0.01
67 	Avg Reward:  0.171142578125 	 Loss:  0.2508932054042816 	 Wins:  0.0 	 Epsilon:  0.01
68 	Avg Reward:  0.166748046875 	 Loss:  0.252672404050827 	 Wins:  0.0 	 Epsilon:  0.01
69 	Avg Reward:  0.1824951171875 	 Loss:  0.23324953019618988 	 Wins:  0.0 	 Epsilon:  0.01
70 	Avg Reward:  0.1868896484375 	 Loss:  0.25669652223587036 	 Wins:  0.0 	 Epsilon:  0.01
71 	Avg Reward:  0.16748046875 	 Loss:  0.24574965238571167 	 Wins:  0.0 	 Epsilon:  0.01
72 	Avg Reward:  0.17919921875 	 Loss:  0.25672996044158936 	 Wins:  0.0 	 Epsilon:  0.01
73 	Avg Reward:  0.1612548828125 	 Loss:  0.2589969038963318 	 Wins:  0.0 	 Epsilon:  0.01
74 	Avg Reward:  0.177001953125 	 Loss:  0.24634407460689545 	 Wins:  0.0 	 Epsilon:  0.01
75 	Avg Reward:  0.1734619140625 	 Loss:  0.24475547671318054 	 Wins:  0.11198208286674133 	 Epsilon:  0.01
76 	Avg Reward:  0.1683349609375 	 Loss:  0.2482098639011383 	 Wins:  0.11025358324145534 	 Epsilon:  0.01
77 	Avg Reward:  0.1737060546875 	 Loss:  0.24326203763484955 	 Wins:  0.0 	 Epsilon:  0.01
78 	Avg Reward:  0.172607421875 	 Loss:  0.2487623691558838 	 Wins:  0.0 	 Epsilon:  0.01
79 	Avg Reward:  0.1685791015625 	 Loss:  0.250247597694397 	 Wins:  0.0 	 Epsilon:  0.01
80 	Avg Reward:  0.168212890625 	 Loss:  0.24769026041030884 	 Wins:  0.0 	 Epsilon:  0.01
81 	Avg Reward:  0.1722412109375 	 Loss:  0.24405261874198914 	 Wins:  0.0 	 Epsilon:  0.01
82 	Avg Reward:  0.182861328125 	 Loss:  0.2506955862045288 	 Wins:  0.0 	 Epsilon:  0.01
83 	Avg Reward:  0.1749267578125 	 Loss:  0.2526669204235077 	 Wins:  0.1124859392575928 	 Epsilon:  0.01
84 	Avg Reward:  0.1722412109375 	 Loss:  0.24452802538871765 	 Wins:  0.0 	 Epsilon:  0.01
85 	Avg Reward:  0.1729736328125 	 Loss:  0.2399720400571823 	 Wins:  0.0 	 Epsilon:  0.01
86 	Avg Reward:  0.171875 	 Loss:  0.25621485710144043 	 Wins:  0.0 	 Epsilon:  0.01
87 	Avg Reward:  0.1773681640625 	 Loss:  0.25090524554252625 	 Wins:  0.0 	 Epsilon:  0.01
88 	Avg Reward:  0.17041015625 	 Loss:  0.24224749207496643 	 Wins:  0.0 	 Epsilon:  0.01
89 	Avg Reward:  0.1630859375 	 Loss:  0.24493297934532166 	 Wins:  0.0 	 Epsilon:  0.01
90 	Avg Reward:  0.1751708984375 	 Loss:  0.2502235472202301 	 Wins:  0.0 	 Epsilon:  0.01
91 	Avg Reward:  0.166748046875 	 Loss:  0.24162529408931732 	 Wins:  0.0 	 Epsilon:  0.01
92 	Avg Reward:  0.16455078125 	 Loss:  0.2444881945848465 	 Wins:  0.0 	 Epsilon:  0.01
93 	Avg Reward:  0.174072265625 	 Loss:  0.24255934357643127 	 Wins:  0.0 	 Epsilon:  0.01
94 	Avg Reward:  0.165283203125 	 Loss:  0.24584771692752838 	 Wins:  0.0 	 Epsilon:  0.01
95 	Avg Reward:  0.17626953125 	 Loss:  0.25183480978012085 	 Wins:  0.0 	 Epsilon:  0.01
96 	Avg Reward:  0.1685791015625 	 Loss:  0.24057596921920776 	 Wins:  0.0 	 Epsilon:  0.01
97 	Avg Reward:  0.1612548828125 	 Loss:  0.25110140442848206 	 Wins:  0.0 	 Epsilon:  0.01
98 	Avg Reward:  0.1689453125 	 Loss:  0.23785872757434845 	 Wins:  0.0 	 Epsilon:  0.01
99 	Avg Reward:  0.1546630859375 	 Loss:  0.2446877509355545 	 Wins:  0.0 	 Epsilon:  0.01
100 	Avg Reward:  0.1685791015625 	 Loss:  0.25276219844818115 	 Wins:  0.0 	 Epsilon:  0.01
101 	Avg Reward:  0.165283203125 	 Loss:  0.24237020313739777 	 Wins:  0.0 	 Epsilon:  0.01
102 	Avg Reward:  0.1781005859375 	 Loss:  0.24298381805419922 	 Wins:  0.0 	 Epsilon:  0.01
103 	Avg Reward:  0.1649169921875 	 Loss:  0.2358226627111435 	 Wins:  0.0 	 Epsilon:  0.01
104 	Avg Reward:  0.160888671875 	 Loss:  0.24212682247161865 	 Wins:  0.0 	 Epsilon:  0.01
105 	Avg Reward:  0.1697998046875 	 Loss:  0.2388889640569687 	 Wins:  0.11074197120708748 	 Epsilon:  0.01
106 	Avg Reward:  0.174072265625 	 Loss:  0.2462623119354248 	 Wins:  0.0 	 Epsilon:  0.01
107 	Avg Reward:  0.1685791015625 	 Loss:  0.248056560754776 	 Wins:  0.0 	 Epsilon:  0.01
108 	Avg Reward:  0.166015625 	 Loss:  0.24580922722816467 	 Wins:  0.0 	 Epsilon:  0.01
109 	Avg Reward:  0.17041015625 	 Loss:  0.23370102047920227 	 Wins:  0.0 	 Epsilon:  0.01
110 	Avg Reward:  0.174072265625 	 Loss:  0.2403726875782013 	 Wins:  0.0 	 Epsilon:  0.01
111 	Avg Reward:  0.1766357421875 	 Loss:  0.24766065180301666 	 Wins:  0.0 	 Epsilon:  0.01
